season,week,home_team,away_team,home_score,away_score,home_off_epa,away_off_epa,home_def_epa,away_def_epa,home_pass_epa,away_pass_epa,home_rush_epa,away_rush_epa,home_starters_out,away_starters_out,home_qb_out,away_qb_out,home_rest_days,away_rest_days,temp_f,wind_mph,precip_flag,home_market_ml,away_market_ml,home_market_spread,game_date,lat,lon,point_diff,home_off_rating,home_def_rating,away_off_rating,away_def_rating,home_recent_form,away_recent_form,home_market_rating,home_win,margin,total_points,home_sos_off,home_sos_def,home_sos_overall,away_sos_off,away_sos_def,away_sos_overall,sos_diff,home_hfa,away_hfa,hfa_diff,home_off_rolling,away_off_rolling,home_def_rolling,away_def_rolling,home_form_rolling,away_form_rolling,model_home_prob,model_margin,model_total_points,implied_home_prob,edge,kelly_full,kelly_half_raw,kelly_half_capped,bet_units,recommend_bet
2025,1,DEN,TEN,20,12,,,,,,,,,0,0,0,0,,,69.5,12.4,1.0,,,,2025-09-07,39.7439,-105.0201,8,18.11764705882353,13.823529411764708,11.823529411764708,21.0,8.0,8.0,,1,8,32,,,,,,,,5.041666666666667,-1.9861111111111107,7.027777777777778,,,,,,,0.9990907,8.063466,31.918764,,,0.0,0.0,0.0,0.0,False
2025,1,GB,DET,27,13,,,,,,,,,0,0,0,0,,,51.0,11.4,0.0,,,,2025-09-07,44.5013,-88.0622,14,18.94117647058824,14.529411764705882,23.176470588235293,17.88235294117647,14.0,14.0,,1,14,40,,,,,,,,3.4722222222222223,9.125,-5.652777777777778,,,,,,,0.9931753,13.989408,40.016697,,,0.0,0.0,0.0,0.0,False
2025,1,BUF,BAL,41,40,,,,,,,,,0,0,0,0,,,59.2,16.5,0.0,,,,2025-09-07,42.7738,-78.7864,1,22.11764705882353,17.235294117647058,18.294117647058822,18.823529411764707,1.0,1.0,,1,1,81,,,,,,,,0.013888888888889284,-5.486111111111111,5.5,,,,,,,0.92492884,0.9725587,80.58188,,,0.0,0.0,0.0,0.0,False
2025,1,ATL,TB,20,23,,,,,,,,,0,0,0,0,,,73.1,14.0,0.0,,,,2025-09-07,33.7554,-84.4008,-3,14.823529411764708,18.41176470588235,17.58823529411765,19.11764705882353,-3.0,-3.0,,0,-3,43,,,,,,,,-2.9027777777777777,3.125,-6.027777777777778,,,,,,,0.007022996,-3.0458004,43.16625,,,0.0,0.0,0.0,0.0,False
2025,1,JAX,CAR,26,10,,,,,,,,,0,0,0,0,,,80.2,14.7,1.0,,,,2025-09-07,30.324,-81.6373,16,19.294117647058822,16.0,14.529411764705882,17.470588235294116,16.0,16.0,,1,16,36,,,,,,,,1.5,5.083333333333333,-3.583333333333333,,,,,,,0.99795866,16.004654,36.018585,,,0.0,0.0,0.0,0.0,False
2025,1,IND,MIA,33,8,,,,,,,,,0,0,0,0,,,60.6,13.1,0.0,,,,2025-09-07,39.7601,-86.1639,25,22.11764705882353,16.764705882352942,16.529411764705884,17.41176470588235,25.0,25.0,,1,25,41,,,,,,,,9.875,1.875,8.0,,,,,,,0.9989309,24.987091,41.0733,,,0.0,0.0,0.0,0.0,False
2025,1,WAS,NYG,21,6,,,,,,,,,0,0,0,0,,,66.6,12.0,1.0,,,,2025-09-07,38.9077,-76.8645,15,15.411764705882351,20.823529411764707,16.41176470588235,21.58823529411765,15.0,15.0,,1,15,27,,,,,,,,6.444444444444445,7.416666666666666,-0.9722222222222214,,,,,,,0.9971204,15.007163,27.242264,,,0.0,0.0,0.0,0.0,False
2025,1,SEA,SF,13,17,,,,,,,,,0,0,0,0,,,65.2,8.9,1.0,,,,2025-09-07,47.5952,-122.3316,-4,22.764705882352946,13.294117647058824,18.058823529411764,15.823529411764708,-4.0,-4.0,,0,-4,30,,,,,,,,1.0,-3.9861111111111107,4.986111111111111,,,,,,,0.019367289,-3.9760475,30.20969,,,0.0,0.0,0.0,0.0,False
2025,1,PHI,DAL,24,20,,,,,,,,,0,0,0,0,,,73.4,20.6,1.0,,,,2025-09-04,39.9008,-75.1675,4,17.0,15.941176470588236,22.41176470588235,22.705882352941178,4.0,4.0,,1,4,44,,,,,,,,3.4305555555555554,5.513888888888889,-2.083333333333334,,,,,,,0.9776519,3.9976385,43.975647,,,0.0,0.0,0.0,0.0,False
2025,1,NYJ,PIT,32,34,,,,,,,,,0,0,0,0,,,64.9,7.2,1.0,,,,2025-09-07,40.8136,-74.0745,-2,15.058823529411764,20.529411764705884,18.11764705882353,18.294117647058822,-2.0,-2.0,,0,-2,66,,,,,,,,-2.541666666666667,1.0833333333333333,-3.625,,,,,,,0.019384792,-1.9562974,65.77092,,,0.0,0.0,0.0,0.0,False
2025,1,CHI,MIN,24,27,,,,,,,,,0,0,0,0,,,62.3,9.8,0.0,,,,2025-09-08,41.8623,-87.6167,-3,19.647058823529413,19.705882352941178,15.0,16.529411764705884,-3.0,-3.0,,0,-3,51,,,,,,,,7.902777777777778,11.625,-3.7222222222222223,,,,,,,0.008485985,-3.087397,51.00734,,,0.0,0.0,0.0,0.0,False
2025,1,CLE,CIN,16,17,,,,,,,,,0,0,0,0,,,60.1,15.9,1.0,,,,2025-09-07,41.5061,-81.6995,-1,13.117647058823527,17.705882352941178,18.47058823529412,24.294117647058822,-1.0,-1.0,,0,-1,33,,,,,,,,8.805555555555555,7.888888888888889,0.9166666666666661,,,,,,,0.04808589,-0.975094,33.173576,,,0.0,0.0,0.0,0.0,False
